species,spcode,season.site,decade,num.nights.per.season,count,abun.class,abun.class.log,total.decade,total.count
Orocrambus vittellus,Orovit,1961r,1,8,3815,Common,3,11738,12720
Orocrambus vittellus,Orovit,1961s,1,13,1989,Common,3,11738,12720
Orocrambus vittellus,Orovit,1962r,1,9,4887,Common,3,11738,12720
Orocrambus vittellus,Orovit,1962s,1,13,1047,Common,3,11738,12720
Orocrambus vittellus,Orovit,1987r,2,8,132,Common,3,838,12720
Orocrambus vittellus,Orovit,1987s,2,9,187,Common,3,838,12720
Orocrambus vittellus,Orovit,1988r,2,14,316,Common,3,838,12720
Orocrambus vittellus,Orovit,1988s,2,15,203,Common,3,838,12720
Orocrambus vittellus,Orovit,1989s,2,3,0,Common,3,838,12720
Orocrambus vittellus,Orovit,2020r,3,13,106,Common,3,144,12720
Orocrambus vittellus,Orovit,2020s,3,13,38,Common,3,144,12720
Orocrambus vittellus,Orovit,2021r,3,2,0,Common,3,144,12720
Orocrambus vittellus,Orovit,2021s,3,2,0,Common,3,144,12720
Ichneutica propria,Ichpro,1961r,1,8,271,Common,3,1019,5195
Ichneutica propria,Ichpro,1961s,1,13,456,Common,3,1019,5195
Ichneutica propria,Ichpro,1962r,1,9,116,Common,3,1019,5195
Ichneutica propria,Ichpro,1962s,1,13,176,Common,3,1019,5195
Ichneutica propria,Ichpro,1987r,2,8,464,Common,3,3684,5195
Ichneutica propria,Ichpro,1987s,2,9,205,Common,3,3684,5195
Ichneutica propria,Ichpro,1988r,2,14,2263,Common,3,3684,5195
Ichneutica propria,Ichpro,1988s,2,15,752,Common,3,3684,5195
Ichneutica propria,Ichpro,1989s,2,3,0,Common,3,3684,5195
Ichneutica propria,Ichpro,2020r,3,13,358,Common,3,492,5195
Ichneutica propria,Ichpro,2020s,3,13,134,Common,3,492,5195
Ichneutica propria,Ichpro,2021r,3,2,0,Common,3,492,5195
Ichneutica propria,Ichpro,2021s,3,2,0,Common,3,492,5195
Eudonia submarginalis,Eudsub,1961r,1,8,119,Common,3,4368,4762
Eudonia submarginalis,Eudsub,1961s,1,13,198,Common,3,4368,4762
Eudonia submarginalis,Eudsub,1962r,1,9,1179,Common,3,4368,4762
Eudonia submarginalis,Eudsub,1962s,1,13,2872,Common,3,4368,4762
Eudonia submarginalis,Eudsub,1987r,2,8,9,Common,3,107,4762
Eudonia submarginalis,Eudsub,1987s,2,9,32,Common,3,107,4762
Eudonia submarginalis,Eudsub,1988r,2,14,33,Common,3,107,4762
Eudonia submarginalis,Eudsub,1988s,2,15,33,Common,3,107,4762
Eudonia submarginalis,Eudsub,1989s,2,3,0,Common,3,107,4762
Eudonia submarginalis,Eudsub,2020r,3,13,157,Common,3,287,4762
Eudonia submarginalis,Eudsub,2020s,3,13,130,Common,3,287,4762
Eudonia submarginalis,Eudsub,2021r,3,2,0,Common,3,287,4762
Eudonia submarginalis,Eudsub,2021s,3,2,0,Common,3,287,4762
Ichneutica disjungens,Ichdis,1961r,1,8,0,Common,3,857,1837
Ichneutica disjungens,Ichdis,1961s,1,13,94,Common,3,857,1837
Ichneutica disjungens,Ichdis,1962r,1,9,347,Common,3,857,1837
Ichneutica disjungens,Ichdis,1962s,1,13,416,Common,3,857,1837
Ichneutica disjungens,Ichdis,1987r,2,8,161,Common,3,895,1837
Ichneutica disjungens,Ichdis,1987s,2,9,407,Common,3,895,1837
Ichneutica disjungens,Ichdis,1988r,2,14,129,Common,3,895,1837
Ichneutica disjungens,Ichdis,1988s,2,15,195,Common,3,895,1837
Ichneutica disjungens,Ichdis,1989s,2,3,3,Common,3,895,1837
Ichneutica disjungens,Ichdis,2020r,3,13,43,Common,3,85,1837
Ichneutica disjungens,Ichdis,2020s,3,13,29,Common,3,85,1837
Ichneutica disjungens,Ichdis,2021r,3,2,8,Common,3,85,1837
Ichneutica disjungens,Ichdis,2021s,3,2,5,Common,3,85,1837
Eudonia sabulosella,Eudsab,1961r,1,8,28,Common,3,556,1601
Eudonia sabulosella,Eudsab,1961s,1,13,93,Common,3,556,1601
Eudonia sabulosella,Eudsab,1962r,1,9,180,Common,3,556,1601
Eudonia sabulosella,Eudsab,1962s,1,13,255,Common,3,556,1601
Eudonia sabulosella,Eudsab,1987r,2,8,65,Common,3,619,1601
Eudonia sabulosella,Eudsab,1987s,2,9,81,Common,3,619,1601
Eudonia sabulosella,Eudsab,1988r,2,14,159,Common,3,619,1601
Eudonia sabulosella,Eudsab,1988s,2,15,311,Common,3,619,1601
Eudonia sabulosella,Eudsab,1989s,2,3,3,Common,3,619,1601
Eudonia sabulosella,Eudsab,2020r,3,13,298,Common,3,426,1601
Eudonia sabulosella,Eudsab,2020s,3,13,110,Common,3,426,1601
Eudonia sabulosella,Eudsab,2021r,3,2,16,Common,3,426,1601
Eudonia sabulosella,Eudsab,2021s,3,2,2,Common,3,426,1601
Orocrambus vulgaris,Orovul,1961r,1,8,108,Common,3,776,1333
Orocrambus vulgaris,Orovul,1961s,1,13,331,Common,3,776,1333
Orocrambus vulgaris,Orovul,1962r,1,9,193,Common,3,776,1333
Orocrambus vulgaris,Orovul,1962s,1,13,144,Common,3,776,1333
Orocrambus vulgaris,Orovul,1987r,2,8,50,Common,3,479,1333
Orocrambus vulgaris,Orovul,1987s,2,9,86,Common,3,479,1333
Orocrambus vulgaris,Orovul,1988r,2,14,145,Common,3,479,1333
Orocrambus vulgaris,Orovul,1988s,2,15,198,Common,3,479,1333
Orocrambus vulgaris,Orovul,1989s,2,3,0,Common,3,479,1333
Orocrambus vulgaris,Orovul,2020r,3,13,58,Common,3,78,1333
Orocrambus vulgaris,Orovul,2020s,3,13,20,Common,3,78,1333
Orocrambus vulgaris,Orovul,2021r,3,2,0,Common,3,78,1333
Orocrambus vulgaris,Orovul,2021s,3,2,0,Common,3,78,1333
Ichneutica sistens,Ichsis,1961r,1,8,109,Common,3,379,1188
Ichneutica sistens,Ichsis,1961s,1,13,170,Common,3,379,1188
Ichneutica sistens,Ichsis,1962r,1,9,56,Common,3,379,1188
Ichneutica sistens,Ichsis,1962s,1,13,44,Common,3,379,1188
Ichneutica sistens,Ichsis,1987r,2,8,60,Common,3,657,1188
Ichneutica sistens,Ichsis,1987s,2,9,20,Common,3,657,1188
Ichneutica sistens,Ichsis,1988r,2,14,473,Common,3,657,1188
Ichneutica sistens,Ichsis,1988s,2,15,104,Common,3,657,1188
Ichneutica sistens,Ichsis,1989s,2,3,0,Common,3,657,1188
Ichneutica sistens,Ichsis,2020r,3,13,98,Common,3,152,1188
Ichneutica sistens,Ichsis,2020s,3,13,54,Common,3,152,1188
Ichneutica sistens,Ichsis,2021r,3,2,0,Common,3,152,1188
Ichneutica sistens,Ichsis,2021s,3,2,0,Common,3,152,1188
Ichneutica acontistis,Ichaco,1961r,1,8,0,Common,3,221,1064
Ichneutica acontistis,Ichaco,1961s,1,13,0,Common,3,221,1064
Ichneutica acontistis,Ichaco,1962r,1,9,78,Common,3,221,1064
Ichneutica acontistis,Ichaco,1962s,1,13,143,Common,3,221,1064
Ichneutica acontistis,Ichaco,1987r,2,8,11,Common,3,717,1064
Ichneutica acontistis,Ichaco,1987s,2,9,56,Common,3,717,1064
Ichneutica acontistis,Ichaco,1988r,2,14,226,Common,3,717,1064
Ichneutica acontistis,Ichaco,1988s,2,15,299,Common,3,717,1064
Ichneutica acontistis,Ichaco,1989s,2,3,125,Common,3,717,1064
Ichneutica acontistis,Ichaco,2020r,3,13,24,Common,3,126,1064
Ichneutica acontistis,Ichaco,2020s,3,13,74,Common,3,126,1064
Ichneutica acontistis,Ichaco,2021r,3,2,15,Common,3,126,1064
Ichneutica acontistis,Ichaco,2021s,3,2,13,Common,3,126,1064
Orocrambus cyclopicus,Orocyc,1961r,1,8,221,Common,3,1035,1049
Orocrambus cyclopicus,Orocyc,1961s,1,13,207,Common,3,1035,1049
Orocrambus cyclopicus,Orocyc,1962r,1,9,513,Common,3,1035,1049
Orocrambus cyclopicus,Orocyc,1962s,1,13,94,Common,3,1035,1049
Orocrambus cyclopicus,Orocyc,1987r,2,8,0,Common,3,11,1049
Orocrambus cyclopicus,Orocyc,1987s,2,9,0,Common,3,11,1049
Orocrambus cyclopicus,Orocyc,1988r,2,14,4,Common,3,11,1049
Orocrambus cyclopicus,Orocyc,1988s,2,15,7,Common,3,11,1049
Orocrambus cyclopicus,Orocyc,1989s,2,3,0,Common,3,11,1049
Orocrambus cyclopicus,Orocyc,2020r,3,13,1,Common,3,3,1049
Orocrambus cyclopicus,Orocyc,2020s,3,13,2,Common,3,3,1049
Orocrambus cyclopicus,Orocyc,2021r,3,2,0,Common,3,3,1049
Orocrambus cyclopicus,Orocyc,2021s,3,2,0,Common,3,3,1049
Orocrambus flexuosellus,Orofle,1961r,1,8,118,Common,2,459,729
Orocrambus flexuosellus,Orofle,1961s,1,13,95,Common,2,459,729
Orocrambus flexuosellus,Orofle,1962r,1,9,167,Common,2,459,729
Orocrambus flexuosellus,Orofle,1962s,1,13,79,Common,2,459,729
Orocrambus flexuosellus,Orofle,1987r,2,8,27,Common,2,233,729
Orocrambus flexuosellus,Orofle,1987s,2,9,32,Common,2,233,729
Orocrambus flexuosellus,Orofle,1988r,2,14,49,Common,2,233,729
Orocrambus flexuosellus,Orofle,1988s,2,15,125,Common,2,233,729
Orocrambus flexuosellus,Orofle,1989s,2,3,0,Common,2,233,729
Orocrambus flexuosellus,Orofle,2020r,3,13,22,Common,2,37,729
Orocrambus flexuosellus,Orofle,2020s,3,13,15,Common,2,37,729
Orocrambus flexuosellus,Orofle,2021r,3,2,0,Common,2,37,729
Orocrambus flexuosellus,Orofle,2021s,3,2,0,Common,2,37,729
Ichneutica mutans,Ichmut,1961r,1,8,87,Common,2,615,711
Ichneutica mutans,Ichmut,1961s,1,13,302,Common,2,615,711
Ichneutica mutans,Ichmut,1962r,1,9,86,Common,2,615,711
Ichneutica mutans,Ichmut,1962s,1,13,140,Common,2,615,711
Ichneutica mutans,Ichmut,1987r,2,8,9,Common,2,82,711
Ichneutica mutans,Ichmut,1987s,2,9,7,Common,2,82,711
Ichneutica mutans,Ichmut,1988r,2,14,9,Common,2,82,711
Ichneutica mutans,Ichmut,1988s,2,15,56,Common,2,82,711
Ichneutica mutans,Ichmut,1989s,2,3,1,Common,2,82,711
Ichneutica mutans,Ichmut,2020r,3,13,2,Common,2,14,711
Ichneutica mutans,Ichmut,2020s,3,13,9,Common,2,14,711
Ichneutica mutans,Ichmut,2021r,3,2,1,Common,2,14,711
Ichneutica mutans,Ichmut,2021s,3,2,2,Common,2,14,711
Capua semiferana,Capsem,1961r,1,8,264,Common,2,604,623
Capua semiferana,Capsem,1961s,1,13,31,Common,2,604,623
Capua semiferana,Capsem,1962r,1,9,288,Common,2,604,623
Capua semiferana,Capsem,1962s,1,13,21,Common,2,604,623
Capua semiferana,Capsem,1987r,2,8,1,Common,2,19,623
Capua semiferana,Capsem,1987s,2,9,6,Common,2,19,623
Capua semiferana,Capsem,1988r,2,14,8,Common,2,19,623
Capua semiferana,Capsem,1988s,2,15,2,Common,2,19,623
Capua semiferana,Capsem,1989s,2,3,2,Common,2,19,623
Capua semiferana,Capsem,2020r,3,13,0,Common,2,0,623
Capua semiferana,Capsem,2020s,3,13,0,Common,2,0,623
Capua semiferana,Capsem,2021r,3,2,0,Common,2,0,623
Capua semiferana,Capsem,2021s,3,2,0,Common,2,0,623
Orocrambus ramosellus,Ororam,1961r,1,8,36,Common,2,242,564
Orocrambus ramosellus,Ororam,1961s,1,13,93,Common,2,242,564
Orocrambus ramosellus,Ororam,1962r,1,9,44,Common,2,242,564
Orocrambus ramosellus,Ororam,1962s,1,13,69,Common,2,242,564
Orocrambus ramosellus,Ororam,1987r,2,8,36,Common,2,207,564
Orocrambus ramosellus,Ororam,1987s,2,9,18,Common,2,207,564
Orocrambus ramosellus,Ororam,1988r,2,14,89,Common,2,207,564
Orocrambus ramosellus,Ororam,1988s,2,15,64,Common,2,207,564
Orocrambus ramosellus,Ororam,1989s,2,3,0,Common,2,207,564
Orocrambus ramosellus,Ororam,2020r,3,13,97,Common,2,115,564
Orocrambus ramosellus,Ororam,2020s,3,13,18,Common,2,115,564
Orocrambus ramosellus,Ororam,2021r,3,2,0,Common,2,115,564
Orocrambus ramosellus,Ororam,2021s,3,2,0,Common,2,115,564
Wiseana mimica,Wismim,1961r,1,8,0,Common,2,388,549
Wiseana mimica,Wismim,1961s,1,13,0,Common,2,388,549
Wiseana mimica,Wismim,1962r,1,9,2,Common,2,388,549
Wiseana mimica,Wismim,1962s,1,13,386,Common,2,388,549
Wiseana mimica,Wismim,1987r,2,8,0,Common,2,161,549
Wiseana mimica,Wismim,1987s,2,9,2,Common,2,161,549
Wiseana mimica,Wismim,1988r,2,14,17,Common,2,161,549
Wiseana mimica,Wismim,1988s,2,15,38,Common,2,161,549
Wiseana mimica,Wismim,1989s,2,3,104,Common,2,161,549
Wiseana mimica,Wismim,2020r,3,13,0,Common,2,0,549
Wiseana mimica,Wismim,2020s,3,13,0,Common,2,0,549
Wiseana mimica,Wismim,2021r,3,2,0,Common,2,0,549
Wiseana mimica,Wismim,2021s,3,2,0,Common,2,0,549
Ichneutica atristriga,Ichatr,1961r,1,8,37,Common,2,391,525
Ichneutica atristriga,Ichatr,1961s,1,13,245,Common,2,391,525
Ichneutica atristriga,Ichatr,1962r,1,9,42,Common,2,391,525
Ichneutica atristriga,Ichatr,1962s,1,13,67,Common,2,391,525
Ichneutica atristriga,Ichatr,1987r,2,8,18,Common,2,81,525
Ichneutica atristriga,Ichatr,1987s,2,9,15,Common,2,81,525
Ichneutica atristriga,Ichatr,1988r,2,14,17,Common,2,81,525
Ichneutica atristriga,Ichatr,1988s,2,15,31,Common,2,81,525
Ichneutica atristriga,Ichatr,1989s,2,3,0,Common,2,81,525
Ichneutica atristriga,Ichatr,2020r,3,13,8,Common,2,53,525
Ichneutica atristriga,Ichatr,2020s,3,13,45,Common,2,53,525
Ichneutica atristriga,Ichatr,2021r,3,2,0,Common,2,53,525
