Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,May-Sep,Oct-Apr,Annual
1964,11.60858926,14.98020866,11.34328474,9.272795818,3.997091411,1.015579138,1.337874486,2.512143669,5.033437013,7.548032283,9.846640735,13.56622605,2.779225143,11.25185388,7.671825271
1965,14.09119287,12.51919824,12.12116797,9.070519026,5.139572713,3.549592881,1.554566463,2.348044495,7.400521298,7.279767037,9.0544607,12.80557353,3.99845957,11.83817191,8.077848102
1966,14.36421291,15.85970835,14.16328022,9.340200636,3.575963344,2.861891962,1.221514196,3.146508955,5.687530037,8.639859954,9.353635256,12.45672968,3.298681699,11.63144155,8.389252959
1967,13.80129615,14.52518586,12.6920703,9.951313634,5.793998842,2.787719332,3.444111602,3.797113551,5.25131252,9.528251087,6.812466294,12.91958741,4.214851169,11.71937359,8.442035548
1968,14.15321461,14.58081426,15.55112429,8.490157208,7.408277629,-0.046796196,1.529280032,3.046842383,4.213088592,6.532875846,9.322263847,11.82495,3.230138488,11.16064882,8.050507708
1969,13.64160148,14.55908264,13.05464158,9.189126332,4.872940071,2.510332897,2.089468686,4.294142713,7.795553241,7.126291601,13.26268401,14.12296588,4.312487522,12.65430215,8.876569261
1970,15.53323292,14.49119087,13.09406933,10.9496804,4.885624288,3.31981934,3.124433878,5.008582041,4.867333507,9.360635384,12.11455184,13.8442061,4.241158611,12.90271596,9.216113325
1971,14.78333917,16.15076774,13.74780937,10.31770213,7.157670001,3.5752546,1.346448034,4.048259829,5.899703987,6.82662164,10.04873538,14.36986323,4.40546729,11.86790784,9.022681259
1972,13.55260689,14.44360324,14.17764469,9.656279779,4.495726853,3.695480987,2.473280104,4.722864195,7.849099111,8.756651762,12.64363327,10.46689176,4.64729025,12.29629301,8.911146887
1973,14.63240515,16.06718244,13.40174345,10.10554322,6.017710777,4.60865537,3.087549536,-0.36687166,7.909996651,10.50621776,10.39781853,13.64160148,4.251408135,12.20395596,9.167462725
1974,13.86633948,15.54711023,11.53005766,9.938546604,5.502962869,2.951057001,1.911141388,3.179543889,5.736366318,5.439647569,13.05814401,14.59921446,3.856214293,12.45731174,8.605010957
1975,15.2497501,14.96730355,13.68958887,10.19753364,6.477662098,2.815100674,2.776850035,2.927612145,6.641711309,8.2324104,9.348463976,12.31961856,4.327787252,11.36053161,8.80363378
1976,14.07816998,11.21584392,13.76269128,10.56652316,5.155069875,2.562345837,2.414742315,2.169639136,3.244728525,5.878755492,9.389385882,12.71648502,3.109305138,11.21884739,7.762865036
1977,11.88968099,14.63575851,13.93102422,10.09084165,4.554554886,1.119872267,1.07771084,4.400323526,3.070173758,8.758930216,9.738860262,11.08268666,2.844527055,12.6265793,7.862534815
1978,15.47296873,16.18296414,14.32316647,12.82647865,5.064900068,1.756850855,1.147653817,4.203799106,4.991319696,8.163104955,10.94772704,12.06630117,3.432904709,11.85106036,8.928936225
