decade,decade.q,est,se,upper.se,lower.se,trans.est,trans.upper.se,trans.lower.se,log10.est,log10.upper,log10.lower,abun.class.log
1,1962,-3.9977,0.2162,-3.7815,-4.2139,0.018357813,0.022788483,0.01478858,-1.736179123,-1.642284652,-1.830073594,Bin 0
1,1962,-1.2277,0.1807,-1.047,-1.4084,0.292965624,0.350989139,0.244534225,-0.533183358,-0.454706342,-0.611660374,Bin 1
1,1962,1.5942,0.213,1.8072,1.3812,4.924387986,6.09336211,3.979674373,0.692352292,0.78485702,0.599847563,Bin 2
1,1962,3.6019,0.3223,3.9242,3.2796,36.66783719,50.6125718,26.56514452,1.56428536,1.704258477,1.424312242,Bin 3
2,1988,-4.1165,0.2786,-3.8379,-4.3951,0.01630147,0.021538785,0.012337646,-1.787773309,-1.666778862,-1.908767757,Bin 0
2,1988,-1.8035,0.2497,-1.5538,-2.0532,0.164721353,0.211442962,0.12832361,-0.783250131,-0.674806794,-0.891693467,Bin 1
2,1988,0.2978,0.2849,0.5827,0.0129,1.346892382,1.79086725,1.012983564,0.129332902,0.253063405,0.005602399,Bin 2
2,1988,2.4387,0.4336,2.8723,2.0051,11.45813548,17.67763003,7.426836543,1.059113997,1.247424092,0.870803902,Bin 3
3,2021,-4.967,0.3296,-4.6374,-5.2966,0.006964009,0.00968284,0.005008594,-2.157140782,-2.013997314,-2.300284249,Bin 0
3,2021,-2.9938,0.319,-2.6748,-3.3128,0.050096707,0.068920611,0.036414071,-1.300190874,-1.161650929,-1.43873082,Bin 1
3,2021,-0.6394,0.3441,-0.2953,-0.9835,0.527608894,0.744308261,0.373999806,-0.277687903,-0.128247166,-0.427128641,Bin 2
3,2021,1.2967,0.4807,1.7774,0.816,3.657207946,5.914458817,2.261435978,0.563149678,0.771915044,0.354384312,Bin 3
