NMDS1,NMDS2,species
-0.394956862,-0.263106158,Capsem
-0.519082066,-0.325309399,Colalc
-0.007955822,-0.349140896,Eudaxe
-0.181098011,0.178133135,Eudcat
0.091381899,-0.000362273,Eudfer
-0.174435059,0.092086894,Eudlep
-0.066013425,0.227577814,Eudsab
0.078848747,0.092284849,Eudste
-0.239292443,0.018752001,Eudsub
-0.292199074,0.080756437,Helcor
0.098127947,0.150762968,Ichaco
0.227624786,0.030919933,Ichago
-0.087066478,0.053288856,Ichatr
0.206257538,0.114227702,Ichdis
-0.181702265,-0.042933236,Ichlig
-0.109292535,0.088528504,Ichlit
-0.044727996,-0.007312476,Ichmod
-0.181106975,-0.117214363,Ichmut
0.040552471,0.136147706,Ichpro
-0.070916484,0.124117594,Ichsis
0.133550609,0.166641048,Ichuni
-0.438304082,-0.270513255,Orocyc
-0.107458917,0.002708701,Orofle
0.029333669,0.309994753,Orolew
-0.088738438,0.170075105,Ororam
-0.281593509,-0.129862791,Orovit
-0.047686363,0.021904859,Orovul
-0.144348341,-0.148038424,Perave
0.067536706,-0.029868256,Phycuc
0.031334534,-0.235254447,Phyphr
-0.151468922,-0.274864355,Scoeju
0.111756981,-0.126653519,Scoexi
-0.122695436,-0.086054421,Scomin
-0.008850719,-0.198620339,Scotur
0.173372265,0.075965345,Wiscop
0.106122915,-0.369961743,Wismim
